"Tabela 1846 - Valores a preços correntes"
"Variável - Valores a preços correntes (Milhões de Reais)"
"Nível";"";"Trimestre x Setores e subsetores"
"Nível";"";"1º trimestre 1996";"2º trimestre 1996";"3º trimestre 1996";"4º trimestre 1996";"1º trimestre 1997";"2º trimestre 1997";"3º trimestre 1997";"4º trimestre 1997";"1º trimestre 1998";"2º trimestre 1998";"3º trimestre 1998";"4º trimestre 1998";"1º trimestre 1999";"2º trimestre 1999";"3º trimestre 1999";"4º trimestre 1999";"1º trimestre 2000";"2º trimestre 2000";"3º trimestre 2000";"4º trimestre 2000";"1º trimestre 2001";"2º trimestre 2001";"3º trimestre 2001";"4º trimestre 2001";"1º trimestre 2002";"2º trimestre 2002";"3º trimestre 2002";"4º trimestre 2002";"1º trimestre 2003";"2º trimestre 2003";"3º trimestre 2003";"4º trimestre 2003";"1º trimestre 2004";"2º trimestre 2004";"3º trimestre 2004";"4º trimestre 2004";"1º trimestre 2005";"2º trimestre 2005";"3º trimestre 2005";"4º trimestre 2005";"1º trimestre 2006";"2º trimestre 2006";"3º trimestre 2006";"4º trimestre 2006";"1º trimestre 2007";"2º trimestre 2007";"3º trimestre 2007";"4º trimestre 2007";"1º trimestre 2008";"2º trimestre 2008";"3º trimestre 2008";"4º trimestre 2008";"1º trimestre 2009";"2º trimestre 2009";"3º trimestre 2009";"4º trimestre 2009";"1º trimestre 2010";"2º trimestre 2010";"3º trimestre 2010";"4º trimestre 2010";"1º trimestre 2011";"2º trimestre 2011";"3º trimestre 2011";"4º trimestre 2011";"1º trimestre 2012";"2º trimestre 2012";"3º trimestre 2012";"4º trimestre 2012";"1º trimestre 2013";"2º trimestre 2013";"3º trimestre 2013";"4º trimestre 2013";"1º trimestre 2014";"2º trimestre 2014";"3º trimestre 2014";"4º trimestre 2014";"1º trimestre 2015";"2º trimestre 2015";"3º trimestre 2015";"4º trimestre 2015";"1º trimestre 2016";"2º trimestre 2016";"3º trimestre 2016";"4º trimestre 2016";"1º trimestre 2017";"2º trimestre 2017";"3º trimestre 2017";"4º trimestre 2017";"1º trimestre 2018";"2º trimestre 2018";"3º trimestre 2018";"4º trimestre 2018";"1º trimestre 2019";"2º trimestre 2019";"3º trimestre 2019";"4º trimestre 2019";"1º trimestre 2020";"2º trimestre 2020";"3º trimestre 2020";"4º trimestre 2020";"1º trimestre 2021";"2º trimestre 2021";"3º trimestre 2021";"4º trimestre 2021";"1º trimestre 2022";"2º trimestre 2022";"3º trimestre 2022";"4º trimestre 2022";"1º trimestre 2023";"2º trimestre 2023";"3º trimestre 2023";"4º trimestre 2023";"1º trimestre 2024";"2º trimestre 2024";"3º trimestre 2024";"4º trimestre 2024";"1º trimestre 2025";"2º trimestre 2025";"3º trimestre 2025";"4º trimestre 2025"
"Nível";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"BR";"Brasil";"916188";"994535";"1083626";"1176018";"1067929";"1140762";"1211252";"1247863";"1151545";"1229675";"1267751";"1262960";"1222868";"1316737";"1351014";"1454186";"1354201";"1438241";"1522183";"1586957";"1536631";"1599417";"1652356";"1719804";"1665047";"1793389";"1879858";"1985613";"1950389";"2048057";"2157710";"2278459";"2169144";"2358199";"2482327";"2590837";"2439732";"2620642";"2705348";"2844834";"2698899";"2845421";"3033777";"3205778";"3089611";"3282415";"3396589";"3562033";"3465931";"3765786";"4007851";"4054297";"3708950";"3927057";"4175045";"4488620";"4324097";"4618468";"4905472";"5180596";"4950989";"5320656";"5463236";"5726295";"5532227";"5832451";"6049707";"6292352";"6105529";"6524518";"6734517";"6995040";"6843365";"7025561";"7271712";"7472080";"7194771";"7324957";"7498436";"7706660";"7379819";"7669843";"7760538";"8043814";"7769570";"8007111";"8118627";"8456284";"8257061";"8548428";"8847162";"9067409";"8680223";"9069264";"9412404";"9590511";"9286173";"8833951";"9576233";"10299705";"10744002";"11029943";"11518748";"11923593";"11637535";"12698863";"13252059";"13409815";"12938372";"13615442";"13816186";"14353628";"13736360";"14659056";"15184008";"15466079";"15167221";"15997974";"16258304";"16371912"
"Fonte: IBGE - Contas Nacionais Trimestrais"

""
"Legenda"
"Símbolo";"Significado"
"-";"Zero absoluto, não resultante de um cálculo ou arredondamento.
Ex: Em determinado município não existem pessoas de 14 anos de idade sem instrução."
"0";"Zero resultante de um cálculo ou arredondamento.
Ex: A inflação do feijão em determinada Região Metropolitana foi 0.
Determinado município produziu 400 kg de sementes de girassol e os dados da tabela são expressos em toneladas."
"X";"Valor inibido para não identificar o informante.
Ex: Determinado município só possui uma empresa produtora de cimento, logo o valor de sua produção deve ser inibido."
"..";"Valor não se aplica.
Ex: Não se pode obter o total da produção agrícola em determinado município quando os produtos agrícolas são contabilizados com unidades de medida distintas."
"...";"Valor não disponível.
Ex: A produção de feijão em determinado município não foi pesquisada ou determinado município não existia no ano da pesquisa."
"A a Z
(exceto X)";"Significa uma faixa de valores. Varia em função da tabela (se for o caso).
Ex: O nível de precisão da produção estimada de combustíveis está na faixa A (95 a 100%)"
